,CustomerID,Recency,Frequency,Monetary,R_score,M_score,F_score,RFM,RFM_score,Loyality
0,12346.0,325,1,77183.6,1,4,1,114,2.35,Gold
1,12347.0,2,7,4309.999999999999,4,4,3,434,3.7,Platinum
2,12348.0,75,4,1797.24,2,3,2,223,2.45,Gold
3,12349.0,18,1,1757.55,3,3,1,313,2.4000000000000004,Gold
4,12350.0,310,1,334.4,1,1,1,111,1.0,Bronze
5,12352.0,36,8,2506.04,3,3,3,333,3.0,Gold
6,12353.0,204,1,89.0,1,1,1,111,1.0,Bronze
7,12354.0,232,1,1079.4,1,2,1,112,1.4500000000000002,Silver
8,12355.0,214,1,459.4,1,2,1,112,1.4500000000000002,Silver
9,12356.0,22,3,2811.43,3,4,2,324,3.1500000000000004,Platinum
10,12357.0,33,1,6207.67,3,4,1,314,2.85,Gold
11,12358.0,1,2,1168.06,4,3,1,413,2.6500000000000004,Gold
12,12359.0,57,4,6310.03,2,4,2,224,2.9000000000000004,Gold
13,12360.0,52,3,2662.06,2,4,2,224,2.9000000000000004,Gold
14,12361.0,287,1,189.9,1,1,1,111,1.0,Bronze
15,12362.0,3,10,5226.23,4,4,3,434,3.7,Platinum
16,12363.0,109,2,552.0,2,2,1,212,1.7000000000000002,Silver
17,12364.0,7,4,1313.1,4,3,2,423,2.95,Gold
18,12365.0,291,2,641.38,1,2,1,112,1.4500000000000002,Silver
19,12367.0,4,1,168.9,4,1,1,411,1.75,Silver
20,12370.0,51,4,3541.9399999999996,2,4,2,224,2.9000000000000004,Gold
21,12371.0,44,2,1887.96,3,3,1,313,2.4000000000000004,Gold
22,12372.0,71,3,1298.04,2,3,2,223,2.45,Gold
23,12373.0,311,1,364.6,1,1,1,111,1.0,Bronze
24,12374.0,25,1,742.9300000000001,3,2,1,312,1.9500000000000002,Silver
25,12375.0,10,2,457.5,4,2,1,412,2.2,Gold
26,12377.0,315,2,1628.12,1,3,1,113,1.9000000000000001,Silver
27,12378.0,129,1,4008.62,2,4,1,214,2.6,Gold
28,12379.0,81,2,852.24,2,2,1,212,1.7000000000000002,Silver
29,12380.0,21,4,2724.8100000000004,3,4,2,324,3.1500000000000004,Platinum
30,12381.0,4,5,1845.31,4,3,2,423,2.95,Gold
31,12383.0,184,5,1850.5600000000002,1,3,2,123,2.2,Gold
32,12384.0,28,2,585.27,3,2,1,312,1.9500000000000002,Silver
33,12386.0,337,2,401.9,1,1,1,111,1.0,Bronze
34,12388.0,15,6,2780.6600000000003,4,4,3,434,3.7,Platinum
35,12390.0,79,1,549.84,2,2,1,212,1.7000000000000002,Silver
36,12391.0,21,1,439.66,3,2,1,312,1.9500000000000002,Silver
37,12393.0,72,4,1582.6,2,3,2,223,2.45,Gold
38,12394.0,63,2,1272.48,2,3,1,213,2.1500000000000004,Gold
39,12395.0,19,12,3018.6299999999997,3,4,3,334,3.45,Platinum
40,12397.0,35,2,2409.8999999999996,3,3,1,313,2.4000000000000004,Gold
41,12398.0,45,1,1635.6599999999999,3,3,1,313,2.4000000000000004,Gold
42,12399.0,119,4,1108.65,2,2,2,222,2.0,Silver
43,12401.0,303,1,84.3,1,1,1,111,1.0,Bronze
44,12402.0,323,1,225.6,1,1,1,111,1.0,Bronze
45,12403.0,49,1,427.7,3,2,1,312,1.9500000000000002,Silver
46,12405.0,148,1,1710.39,1,3,1,113,1.9000000000000001,Silver
47,12406.0,22,2,3415.3,3,4,1,314,2.85,Gold
48,12407.0,49,5,1708.12,3,3,2,323,2.7,Gold
49,12408.0,32,5,2888.55,3,4,2,324,3.1500000000000004,Platinum
50,12409.0,78,3,11072.67,2,4,2,224,2.9000000000000004,Gold
51,12410.0,308,2,693.3299999999999,1,2,1,112,1.4500000000000002,Silver
52,12412.0,74,3,1226.88,2,3,2,223,2.45,Gold
53,12413.0,66,3,758.1,2,2,2,222,2.0,Silver
54,12414.0,217,3,562.41,1,2,2,122,1.75,Silver
55,12415.0,24,21,124914.53000000003,3,4,4,344,3.75,Platinum
56,12417.0,3,9,3649.1,4,4,3,434,3.7,Platinum
57,12418.0,112,1,668.58,2,2,1,212,1.7000000000000002,Silver
58,12420.0,63,1,600.39,2,2,1,212,1.7000000000000002,Silver
59,12421.0,15,4,807.04,4,2,2,422,2.5,Gold
60,12422.0,95,3,803.56,2,2,2,222,2.0,Silver
61,12423.0,0,8,1859.31,4,3,3,433,3.25,Platinum
62,12424.0,162,2,1760.9600000000003,1,3,1,113,1.9000000000000001,Silver
63,12425.0,78,1,777.2,2,2,1,212,1.7000000000000002,Silver
64,12426.0,194,1,582.73,1,2,1,112,1.4500000000000002,Silver
65,12427.0,21,3,825.8,3,2,2,322,2.25,Gold
66,12428.0,25,9,7956.46,3,4,3,334,3.45,Platinum
67,12429.0,9,4,3750.4,4,4,2,424,3.4000000000000004,Platinum
68,12430.0,43,1,256.4,3,1,1,311,1.5,Silver
69,12431.0,35,15,6419.950000000001,3,4,4,344,3.75,Platinum
70,12432.0,42,5,5059.320000000001,3,4,2,324,3.1500000000000004,Platinum
71,12433.0,0,7,13375.869999999999,4,4,3,434,3.7,Platinum
72,12434.0,84,2,806.14,2,2,1,212,1.7000000000000002,Silver
73,12435.0,79,2,7829.89,2,4,1,214,2.6,Gold
74,12436.0,99,1,509.01,2,2,1,212,1.7000000000000002,Silver
75,12437.0,1,18,4951.41,4,4,4,444,4.0,Platinum
76,12438.0,14,2,2906.85,4,4,1,414,3.1,Platinum
77,12441.0,366,1,173.55,1,1,1,111,1.0,Bronze
78,12442.0,3,1,172.06,4,1,1,411,1.75,Silver
79,12444.0,21,5,5005.46,3,4,2,324,3.1500000000000004,Platinum
80,12445.0,22,1,133.4,3,1,1,311,1.5,Silver
81,12446.0,57,1,1002.3100000000001,2,2,1,212,1.7000000000000002,Silver
82,12447.0,243,1,476.49,1,2,1,112,1.4500000000000002,Silver
83,12448.0,44,1,449.45,3,2,1,312,1.9500000000000002,Silver
84,12449.0,22,4,4067.29,3,4,2,324,3.1500000000000004,Platinum
85,12450.0,156,2,197.88,1,1,1,111,1.0,Bronze
86,12451.0,10,5,9035.519999999999,4,4,2,424,3.4000000000000004,Platinum
87,12452.0,16,2,430.57,4,2,1,412,2.2,Gold
88,12453.0,134,1,707.09,2,2,1,212,1.7000000000000002,Silver
89,12454.0,56,1,3528.34,2,4,1,214,2.6,Gold
90,12455.0,73,6,2466.86,2,3,3,233,2.75,Gold
91,12456.0,44,3,3181.04,3,4,2,324,3.1500000000000004,Platinum
92,12457.0,66,7,2363.23,2,3,3,233,2.75,Gold
93,12458.0,71,2,947.4000000000001,2,2,1,212,1.7000000000000002,Silver
94,12461.0,94,2,826.88,2,2,1,212,1.7000000000000002,Silver
95,12462.0,18,2,1189.5900000000001,3,3,1,313,2.4000000000000004,Gold
96,12463.0,53,4,1344.7800000000002,2,3,2,223,2.45,Gold
